ANO  USIN    JAN    FEV    MAR    ABR    MAI    JUN    JUL    AGO    SET    OUT    NOV    DEZ     NC
2030   46 -10.36 -10.79 -11.36 -13.57 -13.76 -17.21 -21.33 -23.53 -22.05 -18.35 -16.93 -12.84    1   
2031   46 -10.56 -11.00 -11.57 -13.80 -13.98 -17.43 -21.56 -23.75 -22.26 -18.55 -17.13 -13.04    1   
2032   46 -10.76 -11.21 -11.79 -14.02 -14.19 -17.65 -21.78 -23.98 -22.47 -18.75 -17.33 -13.24    1   
2033   46 -10.96 -11.42 -12.00 -14.24 -14.40 -17.86 -22.00 -24.20 -22.68 -18.95 -17.53 -13.43    1   
2034   46 -11.16 -11.63 -12.21 -14.47 -14.61 -18.08 -22.22 -24.42 -22.89 -19.16 -17.73 -13.63    1   
2035   46 -11.36 -11.84 -12.42 -14.69 -14.83 -18.30 -22.45 -24.64 -23.10 -19.36 -17.93 -13.83    1   
2036   46 -11.56 -12.05 -12.64 -14.91 -15.04 -18.51 -22.67 -24.86 -23.31 -19.56 -18.14 -14.02    1   
2021   47  -2.36  -2.94  -3.76  -8.31  -3.81  -3.26  -6.95 -10.97  -5.17  -4.99 -17.35  -8.86    1      Usos_Consuntivos - A.A. LAYDNER
2022   47  -2.38  -2.97  -3.81  -8.40  -3.85  -3.29  -7.03 -11.09  -5.22  -5.05 -17.56  -8.98    1   
2023   47  -2.41  -3.01  -3.85  -8.49  -3.89  -3.32  -7.10 -11.20  -5.26  -5.09 -17.70  -8.99    1   
2024   47  -2.41  -2.98  -3.90  -8.59  -3.93  -3.36  -7.18 -11.34  -5.32  -5.15 -17.99  -9.20    1   
2025   47  -2.47  -3.07  -3.95  -8.68  -3.97  -3.39  -7.26 -11.46  -5.37  -5.21 -18.20  -9.32    1   
2026   47  -2.49  -3.11  -4.00  -8.78  -4.01  -3.43  -7.34 -11.58  -5.43  -5.26 -18.41  -9.43    1   
2027   47  -2.52  -3.15  -4.04  -8.87  -4.05  -3.46  -7.42 -11.69  -5.47  -5.31 -18.55  -9.44    1   
2028   47  -2.53  -3.12  -4.09  -8.97  -4.09  -3.50  -7.51 -11.83  -5.53  -5.37 -18.85  -9.66    1   
2029   47  -2.58  -3.22  -4.14  -9.06  -4.13  -3.54  -7.59 -11.95  -5.59  -5.43 -19.06  -9.78    1   
2030   47  -2.61  -3.26  -4.19  -9.16  -4.17  -3.57  -7.67 -12.07  -5.63  -5.47 -19.17  -9.79    1   
2031   47  -2.65  -3.30  -4.24  -9.25  -4.21  -3.61  -7.75 -12.18  -5.68  -5.50 -19.27  -9.80    1   
2032   47  -2.68  -3.34  -4.29  -9.35  -4.26  -3.65  -7.83 -12.29  -5.72  -5.54 -19.37  -9.81    1   
2033   47  -2.71  -3.37  -4.34  -9.44  -4.30  -3.68  -7.91 -12.40  -5.76  -5.58 -19.48  -9.82    1   
2034   47  -2.74  -3.41  -4.39  -9.54  -4.34  -3.72  -7.98 -12.52  -5.81  -5.61 -19.58  -9.82    1   
2035   47  -2.77  -3.45  -4.44  -9.63  -4.38  -3.76  -8.06 -12.63  -5.85  -5.65 -19.68  -9.83    1   
2036   47  -2.80  -3.49  -4.49  -9.72  -4.42  -3.79  -8.14 -12.74  -5.89  -5.68 -19.78  -9.84    1   
2021   48  -0.07  -0.08  -0.11  -0.20  -0.09  -0.06  -0.10  -0.16  -0.13  -0.11  -0.25  -0.18    1      Usos_Consuntivos - PIRAJU
2022   48  -0.07  -0.08  -0.11  -0.20  -0.10  -0.06  -0.10  -0.16  -0.13  -0.11  -0.26  -0.18    1   
2023   48  -0.07  -0.08  -0.11  -0.20  -0.10  -0.06  -0.10  -0.16  -0.13  -0.11  -0.26  -0.18    1   
2024   48  -0.07  -0.08  -0.11  -0.21  -0.10  -0.06  -0.10  -0.16  -0.13  -0.11  -0.26  -0.18    1   
2025   48  -0.07  -0.08  -0.11  -0.21  -0.10  -0.06  -0.10  -0.16  -0.13  -0.11  -0.26  -0.19    1   
2026   48  -0.07  -0.08  -0.11  -0.21  -0.10  -0.06  -0.10  -0.16  -0.13  -0.11  -0.27  -0.19    1   
2027   48  -0.07  -0.08  -0.11  -0.21  -0.10  -0.06  -0.10  -0.17  -0.13  -0.11  -0.27  -0.19    1   
2028   48  -0.07  -0.08  -0.11  -0.21  -0.10  -0.06  -0.10  -0.17  -0.13  -0.11  -0.27  -0.19    1   
2029   48  -0.07  -0.08  -0.12  -0.22  -0.10  -0.06  -0.10  -0.17  -0.13  -0.11  -0.27  -0.19    1   
2030   48  -0.07  -0.08  -0.12  -0.22  -0.10  -0.06  -0.10  -0.17  -0.13  -0.11  -0.27  -0.19    1   
2031   48  -0.07  -0.08  -0.12  -0.22  -0.10  -0.06  -0.10  -0.17  -0.13  -0.11  -0.27  -0.19    1   
2032   48  -0.07  -0.08  -0.12  -0.22  -0.10  -0.06  -0.10  -0.17  -0.13  -0.11  -0.27  -0.19    1   
2033   48  -0.08  -0.08  -0.12  -0.22  -0.10  -0.06  -0.10  -0.17  -0.13  -0.11  -0.27  -0.19    1   
2034   48  -0.08  -0.08  -0.12  -0.23  -0.10  -0.06  -0.10  -0.17  -0.13  -0.11  -0.27  -0.19    1   
2035   48  -0.08  -0.08  -0.12  -0.23  -0.10  -0.06  -0.10  -0.17  -0.13  -0.11  -0.27  -0.19    1   
2036   48  -0.08  -0.08  -0.12  -0.23  -0.10  -0.06  -0.10  -0.17  -0.13  -0.11  -0.27  -0.19    1   
2021   49  -1.07  -1.11  -1.24  -1.96  -1.10  -0.91  -1.38  -2.07  -1.50  -1.53  -3.65  -2.09    1      Usos_Consuntivos - CHAVANTES
2022   49  -1.09  -1.14  -1.26  -1.99  -1.12  -0.93  -1.40  -2.10  -1.53  -1.56  -3.70  -2.12    1   
2023   49  -1.11  -1.16  -1.29  -2.02  -1.14  -0.95  -1.43  -2.13  -1.56  -1.58  -3.75  -2.15    1   
2024   49  -1.13  -1.17  -1.31  -2.06  -1.16  -0.97  -1.46  -2.17  -1.59  -1.62  -3.81  -2.19    1   
2025   49  -1.16  -1.21  -1.34  -2.09  -1.19  -1.00  -1.48  -2.20  -1.62  -1.65  -3.86  -2.23    1   
2026   49  -1.18  -1.23  -1.37  -2.13  -1.22  -1.02  -1.51  -2.24  -1.65  -1.68  -3.92  -2.27    1   
2027   49  -1.21  -1.26  -1.40  -2.17  -1.25  -1.05  -1.54  -2.27  -1.68  -1.71  -3.97  -2.30    1   
2028   49  -1.23  -1.28  -1.43  -2.21  -1.28  -1.07  -1.58  -2.32  -1.71  -1.75  -4.04  -2.35    1   
2029   49  -1.27  -1.32  -1.46  -2.25  -1.31  -1.10  -1.61  -2.36  -1.75  -1.78  -4.10  -2.39    1   
2030   49  -1.30  -1.35  -1.49  -2.29  -1.34  -1.13  -1.65  -2.40  -1.78  -1.81  -4.14  -2.42    1   
2031   49  -1.33  -1.39  -1.53  -2.33  -1.37  -1.16  -1.68  -2.43  -1.81  -1.85  -4.19  -2.45    1   
2032   49  -1.37  -1.42  -1.56  -2.38  -1.40  -1.19  -1.71  -2.47  -1.85  -1.88  -4.23  -2.47    1   
2033   49  -1.40  -1.45  -1.60  -2.42  -1.44  -1.22  -1.75  -2.51  -1.88  -1.91  -4.27  -2.50    1   
2034   49  -1.43  -1.48  -1.63  -2.46  -1.47  -1.25  -1.78  -2.55  -1.91  -1.94  -4.32  -2.53    1   
2035   49  -1.46  -1.52  -1.66  -2.50  -1.50  -1.28  -1.82  -2.59  -1.94  -1.97  -4.36  -2.56    1   
2036   49  -1.49  -1.55  -1.70  -2.55  -1.53  -1.31  -1.85  -2.62  -1.98  -2.01  -4.40  -2.59    1   
2021   50  -1.26  -1.33  -1.50  -2.68  -1.91  -1.76  -2.48  -3.39  -2.96  -2.40  -2.89  -1.75    1      Usos_Consuntivos - L. N. GARCEZ
2022   50  -1.26  -1.33  -1.50  -2.70  -1.91  -1.77  -2.49  -3.42  -2.97  -2.41  -2.91  -1.76    1   
2023   50  -1.26  -1.33  -1.51  -2.71  -1.92  -1.77  -2.50  -3.43  -2.98  -2.42  -2.92  -1.76    1   
2024   50  -1.26  -1.33  -1.51  -2.73  -1.93  -1.79  -2.53  -3.47  -3.01  -2.44  -2.94  -1.77    1   
2025   50  -1.26  -1.34  -1.52  -2.75  -1.95  -1.80  -2.54  -3.50  -3.04  -2.45  -2.96  -1.78    1   
2026   50  -1.27  -1.35  -1.53  -2.78  -1.96  -1.81  -2.57  -3.53  -3.06  -2.47  -2.99  -1.79    1   
2027   50  -1.28  -1.36  -1.54  -2.80  -1.97  -1.82  -2.58  -3.56  -3.08  -2.49  -3.01  -1.80    1   
2028   50  -1.28  -1.36  -1.55  -2.83  -1.99  -1.84  -2.61  -3.60  -3.12  -2.52  -3.04  -1.82    1   
2029   50  -1.30  -1.38  -1.56  -2.86  -2.01  -1.86  -2.64  -3.64  -3.15  -2.54  -3.06  -1.83    1   
2030   50  -1.31  -1.39  -1.58  -2.89  -2.03  -1.88  -2.66  -3.66  -3.17  -2.55  -3.08  -1.84    1   
2031   50  -1.32  -1.40  -1.59  -2.91  -2.05  -1.89  -2.68  -3.69  -3.19  -2.57  -3.09  -1.86    1   
2032   50  -1.33  -1.42  -1.61  -2.94  -2.08  -1.91  -2.71  -3.72  -3.21  -2.58  -3.11  -1.87    1   
2033   50  -1.34  -1.43  -1.62  -2.97  -2.10  -1.93  -2.73  -3.74  -3.23  -2.60  -3.12  -1.88    1   
2034   50  -1.36  -1.44  -1.64  -3.00  -2.12  -1.95  -2.75  -3.77  -3.25  -2.62  -3.13  -1.89    1   
2035   50  -1.37  -1.45  -1.65  -3.03  -2.14  -1.96  -2.78  -3.80  -3.27  -2.63  -3.15  -1.90    1   
2036   50  -1.38  -1.47  -1.67  -3.06  -2.16  -1.98  -2.80  -3.82  -3.29  -2.65  -3.16  -1.91    1   
2021   51  -0.07  -0.07  -0.07  -0.06  -0.06  -0.06  -0.06  -0.08  -0.08  -0.08  -0.09  -0.09    1      Usos_Consuntivos - CANOAS II
2022   51  -0.07  -0.07  -0.07  -0.06  -0.06  -0.06  -0.06  -0.08  -0.08  -0.08  -0.09  -0.09    1   
2023   51  -0.07  -0.07  -0.07  -0.06  -0.06  -0.06  -0.06  -0.08  -0.08  -0.08  -0.08  -0.09    1   
2024   51  -0.07  -0.07  -0.07  -0.06  -0.06  -0.06  -0.07  -0.08  -0.08  -0.08  -0.08  -0.09    1   
2025   51  -0.07  -0.07  -0.07  -0.06  -0.06  -0.06  -0.07  -0.08  -0.08  -0.08  -0.08  -0.09    1   
2026   51  -0.07  -0.07  -0.07  -0.06  -0.06  -0.06  -0.07  -0.08  -0.08  -0.08  -0.08  -0.09    1   
2027   51  -0.07  -0.07  -0.07  -0.06  -0.06  -0.06  -0.07  -0.08  -0.08  -0.08  -0.08  -0.09    1   
2028   51  -0.07  -0.07  -0.07  -0.07  -0.06  -0.07  -0.07  -0.09  -0.08  -0.08  -0.08  -0.09    1   
2029   51  -0.07  -0.07  -0.07  -0.07  -0.06  -0.07  -0.07  -0.09  -0.08  -0.08  -0.08  -0.09    1   
2030   51  -0.07  -0.07  -0.07  -0.07  -0.07  -0.07  -0.07  -0.09  -0.08  -0.08  -0.08  -0.09    1   
2031   51  -0.07  -0.07  -0.07  -0.07  -0.07  -0.07  -0.07  -0.09  -0.08  -0.08  -0.09  -0.09    1   
2032   51  -0.07  -0.07  -0.07  -0.07  -0.07  -0.07  -0.07  -0.09  -0.08  -0.08  -0.09  -0.09    1   
2033   51  -0.07  -0.07  -0.07  -0.07  -0.07  -0.07  -0.07  -0.09  -0.08  -0.08  -0.09  -0.09    1   
2034   51  -0.07  -0.07  -0.07  -0.07  -0.07  -0.07  -0.07  -0.09  -0.09  -0.08  -0.09  -0.09    1   
2035   51  -0.07  -0.07  -0.07  -0.07  -0.07  -0.07  -0.07  -0.09  -0.09  -0.08  -0.09  -0.09    1   
2036   51  -0.07  -0.08  -0.07  -0.07  -0.07  -0.07  -0.07  -0.09  -0.09  -0.08  -0.09  -0.09    1   
2021   52  -0.14  -0.16  -0.17  -0.22  -0.16  -0.16  -0.22  -0.30  -0.26  -0.24  -0.33  -0.22    1      Usos_Consuntivos - CANOAS I
2022   52  -0.14  -0.16  -0.17  -0.22  -0.16  -0.15  -0.22  -0.30  -0.26  -0.24  -0.33  -0.22    1   
2023   52  -0.14  -0.15  -0.17  -0.22  -0.15  -0.15  -0.22  -0.30  -0.26  -0.24  -0.33  -0.22    1   
2024   52  -0.14  -0.15  -0.17  -0.22  -0.15  -0.15  -0.22  -0.30  -0.26  -0.24  -0.33  -0.22    1   
2025   52  -0.14  -0.15  -0.17  -0.22  -0.15  -0.15  -0.22  -0.30  -0.26  -0.24  -0.33  -0.22    1   
2026   52  -0.14  -0.15  -0.17  -0.22  -0.15  -0.15  -0.22  -0.30  -0.26  -0.24  -0.33  -0.22    1   
2027   52  -0.14  -0.15  -0.17  -0.22  -0.15  -0.15  -0.22  -0.30  -0.26  -0.24  -0.33  -0.22    1   
2028   52  -0.14  -0.15  -0.17  -0.22  -0.15  -0.15  -0.22  -0.30  -0.26  -0.24  -0.33  -0.22    1   
2029   52  -0.14  -0.15  -0.17  -0.22  -0.15  -0.15  -0.23  -0.30  -0.26  -0.24  -0.34  -0.22    1   
2030   52  -0.14  -0.15  -0.17  -0.22  -0.15  -0.15  -0.23  -0.30  -0.26  -0.24  -0.34  -0.22    1   
2031   52  -0.14  -0.15  -0.17  -0.22  -0.15  -0.15  -0.23  -0.31  -0.26  -0.24  -0.34  -0.22    1   
2032   52  -0.14  -0.15  -0.17  -0.22  -0.15  -0.15  -0.23  -0.31  -0.27  -0.24  -0.34  -0.22    1   
2033   52  -0.14  -0.15  -0.17  -0.23  -0.15  -0.15  -0.23  -0.31  -0.27  -0.24  -0.34  -0.22    1   
2034   52  -0.14  -0.15  -0.17  -0.23  -0.15  -0.15  -0.23  -0.31  -0.27  -0.24  -0.34  -0.22    1   
2035   52  -0.14  -0.15  -0.17  -0.23  -0.15  -0.15  -0.23  -0.31  -0.27  -0.24  -0.34  -0.22    1   
2036   52  -0.14  -0.15  -0.17  -0.23  -0.15  -0.15  -0.23  -0.31  -0.27  -0.24  -0.34  -0.22    1   
2021   54  -0.96  -0.79  -0.55  -0.54  -0.50  -0.50  -0.50  -0.54  -0.51  -0.51  -0.84  -1.41    1      Usos_Consuntivos - S BRANCA TIB
2022   54  -0.97  -0.80  -0.56  -0.55  -0.51  -0.51  -0.51  -0.55  -0.52  -0.52  -0.85  -1.43    1   
2023   54  -0.99  -0.82  -0.57  -0.56  -0.52  -0.52  -0.52  -0.56  -0.53  -0.53  -0.86  -1.43    1   
2024   54  -1.00  -0.83  -0.58  -0.57  -0.53  -0.53  -0.53  -0.57  -0.54  -0.54  -0.88  -1.48    1   
2025   54  -1.02  -0.85  -0.59  -0.58  -0.54  -0.54  -0.54  -0.58  -0.55  -0.55  -0.89  -1.50    1   
2026   54  -1.04  -0.86  -0.60  -0.60  -0.55  -0.55  -0.55  -0.59  -0.56  -0.56  -0.91  -1.52    1   
2027   54  -1.05  -0.88  -0.61  -0.61  -0.57  -0.57  -0.57  -0.61  -0.57  -0.58  -0.92  -1.52    1   
2028   54  -1.07  -0.89  -0.63  -0.62  -0.58  -0.58  -0.58  -0.62  -0.58  -0.59  -0.94  -1.57    1   
2029   54  -1.09  -0.91  -0.64  -0.63  -0.59  -0.59  -0.59  -0.63  -0.60  -0.60  -0.96  -1.59    1   
2030   54  -1.11  -0.93  -0.65  -0.65  -0.60  -0.60  -0.60  -0.65  -0.61  -0.61  -0.97  -1.61    1   
2031   54  -1.13  -0.94  -0.67  -0.66  -0.62  -0.62  -0.62  -0.66  -0.62  -0.63  -0.98  -1.62    1   
2032   54  -1.15  -0.96  -0.68  -0.67  -0.63  -0.63  -0.63  -0.67  -0.64  -0.64  -1.00  -1.63    1   
2033   54  -1.17  -0.98  -0.69  -0.69  -0.64  -0.64  -0.64  -0.69  -0.65  -0.65  -1.01  -1.64    1   
2034   54  -1.19  -0.99  -0.71  -0.70  -0.66  -0.66  -0.66  -0.70  -0.66  -0.67  -1.02  -1.66    1   
2035   54  -1.20  -1.01  -0.72  -0.71  -0.67  -0.67  -0.67  -0.71  -0.68  -0.68  -1.04  -1.67    1   
2036   54  -1.22  -1.03  -0.73  -0.73  -0.68  -0.68  -0.68  -0.73  -0.69  -0.69  -1.05  -1.68    1   
2021   56  -0.47  -0.46  -0.47  -0.47  -0.44  -0.44  -0.44  -0.48  -0.44  -0.46  -0.57  -0.55    1      Usos_Consuntivos - TELEM BORBA(NC)
2022   56  -0.48  -0.48  -0.48  -0.48  -0.45  -0.45  -0.45  -0.49  -0.46  -0.47  -0.58  -0.57    1   
2023   56  -0.49  -0.49  -0.49  -0.50  -0.46  -0.46  -0.47  -0.51  -0.47  -0.48  -0.60  -0.58    1   
2024   56  -0.51  -0.50  -0.51  -0.51  -0.48  -0.48  -0.48  -0.52  -0.48  -0.50  -0.61  -0.60    1   
2025   56  -0.52  -0.52  -0.52  -0.53  -0.49  -0.49  -0.50  -0.54  -0.50  -0.51  -0.63  -0.61    1   
2026   56  -0.54  -0.53  -0.54  -0.54  -0.51  -0.51  -0.51  -0.55  -0.51  -0.53  -0.64  -0.63    1   
2027   56  -0.55  -0.55  -0.55  -0.56  -0.52  -0.52  -0.53  -0.57  -0.53  -0.54  -0.66  -0.64    1   
2028   56  -0.57  -0.57  -0.57  -0.57  -0.54  -0.54  -0.54  -0.58  -0.54  -0.56  -0.68  -0.66    1   
2029   56  -0.59  -0.58  -0.59  -0.59  -0.55  -0.55  -0.56  -0.60  -0.56  -0.58  -0.70  -0.68    1   
2030   56  -0.60  -0.60  -0.60  -0.61  -0.57  -0.57  -0.58  -0.62  -0.58  -0.59  -0.71  -0.70    1   
2031   56  -0.62  -0.62  -0.62  -0.63  -0.59  -0.59  -0.59  -0.64  -0.59  -0.61  -0.73  -0.71    1   
2032   56  -0.64  -0.64  -0.64  -0.64  -0.60  -0.60  -0.61  -0.65  -0.61  -0.63  -0.75  -0.73    1   
2033   56  -0.66  -0.65  -0.66  -0.66  -0.62  -0.62  -0.63  -0.67  -0.63  -0.64  -0.77  -0.75    1   
2034   56  -0.67  -0.67  -0.67  -0.68  -0.64  -0.64  -0.64  -0.69  -0.65  -0.66  -0.78  -0.76    1   
2035   56  -0.69  -0.69  -0.69  -0.70  -0.66  -0.66  -0.66  -0.71  -0.66  -0.68  -0.80  -0.78    1   
2036   56  -0.71  -0.71  -0.71  -0.71  -0.67  -0.67  -0.68  -0.73  -0.68  -0.70  -0.82  -0.80    1   
2021   57  -0.22  -0.23  -0.23  -0.23  -0.22  -0.22  -0.22  -0.22  -0.22  -0.22  -0.23  -0.23    1      Usos_Consuntivos - MAUA
2022   57  -0.23  -0.24  -0.23  -0.23  -0.23  -0.23  -0.23  -0.23  -0.23  -0.23  -0.24  -0.24    1   
2023   57  -0.24  -0.24  -0.24  -0.24  -0.24  -0.24  -0.24  -0.24  -0.24  -0.24  -0.25  -0.25    1   
2024   57  -0.25  -0.25  -0.25  -0.25  -0.25  -0.25  -0.25  -0.25  -0.25  -0.25  -0.26  -0.26    1   
2025   57  -0.26  -0.26  -0.26  -0.26  -0.25  -0.25  -0.25  -0.26  -0.25  -0.26  -0.26  -0.26    1   
2026   57  -0.27  -0.27  -0.27  -0.27  -0.26  -0.26  -0.26  -0.27  -0.26  -0.26  -0.27  -0.27    1   
2027   57  -0.28  -0.28  -0.28  -0.28  -0.27  -0.27  -0.27  -0.27  -0.27  -0.27  -0.28  -0.28    1   
2028   57  -0.29  -0.29  -0.29  -0.29  -0.28  -0.28  -0.28  -0.28  -0.28  -0.28  -0.29  -0.29    1   
2029   57  -0.30  -0.30  -0.30  -0.30  -0.29  -0.29  -0.29  -0.30  -0.29  -0.29  -0.30  -0.30    1   
2030   57  -0.31  -0.31  -0.31  -0.31  -0.30  -0.30  -0.30  -0.31  -0.30  -0.31  -0.31  -0.31    1   
2031   57  -0.32  -0.32  -0.32  -0.32  -0.32  -0.32  -0.32  -0.32  -0.32  -0.32  -0.33  -0.33    1   
2032   57  -0.33  -0.33  -0.33  -0.33  -0.33  -0.33  -0.33  -0.33  -0.33  -0.33  -0.34  -0.34    1   
2033   57  -0.34  -0.34  -0.34  -0.34  -0.34  -0.34  -0.34  -0.34  -0.34  -0.34  -0.35  -0.35    1   
2034   57  -0.35  -0.35  -0.35  -0.35  -0.35  -0.35  -0.35  -0.35  -0.35  -0.35  -0.36  -0.36    1   
2035   57  -0.36  -0.37  -0.36  -0.36  -0.36  -0.36  -0.36  -0.36  -0.36  -0.36  -0.37  -0.37    1   
2036   57  -0.37  -0.38  -0.37  -0.37  -0.37  -0.37  -0.37  -0.37  -0.37  -0.37  -0.38  -0.38    1   
2021   57 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80    1      Vazao_Remanescente - MAUA
2022   57 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80    1   
2023   57 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80    1   
2024   57 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80    1   
2025   57 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80    1   
2026   57 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80    1   
2027   57 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80    1   
2028   57 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80    1   
2029   57 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80    1   
2030   57 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80    1   
2031   57 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80    1   
2032   57 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80    1   
2033   57 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80    1   
2034   57 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80    1   
2035   57 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80    1   
2036   57 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80 -18.80    1   
2021   61  -3.27  -3.45  -3.53  -3.86  -3.31  -3.28  -4.10  -5.32  -3.99  -4.33  -4.69  -4.16    1      Usos_Consuntivos - CAPIVARA
2022   61  -3.32  -3.50  -3.60  -3.93  -3.38  -3.35  -4.18  -5.43  -4.08  -4.43  -4.77  -4.22    1   
2023   61  -3.37  -3.56  -3.66  -3.99  -3.44  -3.42  -4.26  -5.51  -4.15  -4.53  -4.87  -4.24    1   
2024   61  -3.42  -3.60  -3.73  -4.07  -3.52  -3.50  -4.34  -5.65  -4.27  -4.63  -4.94  -4.35    1   
2025   61  -3.48  -3.68  -3.81  -4.14  -3.59  -3.57  -4.43  -5.77  -4.37  -4.74  -5.03  -4.42    1   
2026   61  -3.55  -3.75  -3.89  -4.22  -3.67  -3.66  -4.52  -5.89  -4.48  -4.85  -5.13  -4.50    1   
2027   61  -3.62  -3.83  -3.98  -4.30  -3.75  -3.74  -4.62  -5.98  -4.56  -4.97  -5.25  -4.54    1   
2028   61  -3.70  -3.89  -4.07  -4.39  -3.84  -3.83  -4.72  -6.14  -4.70  -5.09  -5.34  -4.67    1   
2029   61  -3.78  -4.00  -4.16  -4.49  -3.93  -3.92  -4.82  -6.28  -4.82  -5.21  -5.46  -4.76    1   
2030   61  -3.87  -4.09  -4.26  -4.58  -4.02  -4.02  -4.92  -6.39  -4.91  -5.31  -5.55  -4.85    1   
2031   61  -3.96  -4.18  -4.36  -4.67  -4.11  -4.11  -5.03  -6.50  -5.00  -5.40  -5.65  -4.94    1   
2032   61  -4.05  -4.28  -4.46  -4.77  -4.20  -4.20  -5.13  -6.61  -5.10  -5.50  -5.74  -5.04    1   
2033   61  -4.14  -4.37  -4.56  -4.86  -4.30  -4.29  -5.23  -6.72  -5.19  -5.59  -5.83  -5.13    1   
2034   61  -4.22  -4.46  -4.66  -4.96  -4.39  -4.39  -5.34  -6.83  -5.29  -5.68  -5.93  -5.22    1   
2035   61  -4.31  -4.55  -4.75  -5.05  -4.48  -4.48  -5.44  -6.94  -5.38  -5.78  -6.02  -5.31    1   
2036   61  -4.40  -4.64  -4.85  -5.15  -4.57  -4.57  -5.54  -7.05  -5.48  -5.87  -6.11  -5.40    1   
2021   62  -2.21  -2.32  -2.23  -2.17  -2.06  -2.16  -2.51  -3.08  -2.58  -2.45  -2.62  -2.49    1      Usos_Consuntivos - TAQUARUCU
2022   62  -2.28  -2.39  -2.30  -2.24  -2.12  -2.22  -2.58  -3.15  -2.65  -2.52  -2.69  -2.56    1   
2023   62  -2.35  -2.46  -2.37  -2.30  -2.19  -2.30  -2.66  -3.22  -2.71  -2.60  -2.76  -2.62    1   
2024   62  -2.42  -2.52  -2.44  -2.38  -2.26  -2.36  -2.73  -3.31  -2.79  -2.66  -2.84  -2.71    1   
2025   62  -2.50  -2.61  -2.52  -2.45  -2.34  -2.44  -2.81  -3.39  -2.86  -2.73  -2.92  -2.79    1   
2026   62  -2.58  -2.69  -2.60  -2.53  -2.42  -2.52  -2.89  -3.48  -2.94  -2.81  -3.01  -2.88    1   
2027   62  -2.66  -2.78  -2.68  -2.61  -2.49  -2.60  -2.98  -3.56  -3.02  -2.91  -3.09  -2.95    1   
2028   62  -2.75  -2.85  -2.77  -2.70  -2.58  -2.68  -3.07  -3.66  -3.11  -2.98  -3.19  -3.05    1   
2029   62  -2.84  -2.96  -2.86  -2.79  -2.67  -2.77  -3.16  -3.75  -3.20  -3.07  -3.28  -3.15    1   
2030   62  -2.93  -3.05  -2.95  -2.88  -2.76  -2.86  -3.26  -3.85  -3.29  -3.16  -3.37  -3.23    1   
2031   62  -3.03  -3.15  -3.05  -2.98  -2.85  -2.95  -3.35  -3.95  -3.38  -3.25  -3.46  -3.32    1   
2032   62  -3.12  -3.24  -3.14  -3.07  -2.94  -3.04  -3.45  -4.04  -3.47  -3.34  -3.55  -3.41    1   
2033   62  -3.22  -3.34  -3.23  -3.16  -3.03  -3.14  -3.55  -4.14  -3.56  -3.43  -3.64  -3.50    1   
2034   62  -3.31  -3.43  -3.33  -3.25  -3.12  -3.23  -3.64  -4.24  -3.65  -3.52  -3.73  -3.59    1   
2035   62  -3.40  -3.53  -3.42  -3.35  -3.21  -3.32  -3.74  -4.33  -3.74  -3.61  -3.82  -3.68    1   
2036   62  -3.50  -3.62  -3.51  -3.44  -3.30  -3.41  -3.84  -4.43  -3.83  -3.70  -3.91  -3.77    1   
2021   63  -4.39  -4.43  -4.39  -4.28  -3.90  -4.03  -4.75  -5.72  -4.98  -5.04  -5.50  -4.80    1      Usos_Consuntivos - ROSANA
2022   63  -4.52  -4.56  -4.51  -4.41  -4.02  -4.15  -4.88  -5.86  -5.12  -5.17  -5.63  -4.93    1   
